"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 14 17:51:36 CST 2021","Tue Dec 14 17:51:36 CST 2021","1","","aaaa","","","","test_dfdf[1]",""
"passed","Tue Dec 14 17:51:36 CST 2021","Tue Dec 14 17:51:36 CST 2021","1","","aaaa","","","","test_dfdf[2]",""
"broken","Sat Dec 11 21:45:18 CST 2021","Sat Dec 11 21:45:18 CST 2021","0","testcase","login","","","","test_login[pam]",""
"broken","Sat Dec 11 21:45:19 CST 2021","Sat Dec 11 21:45:19 CST 2021","0","testcase","login","","","","test_login[code]",""
"passed","Tue Dec 14 19:24:54 CST 2021","Tue Dec 14 19:24:55 CST 2021","1572","testcase","login","","","","test_login[pam10]",""
"broken","Tue Dec 14 18:07:16 CST 2021","Tue Dec 14 18:07:17 CST 2021","1143","testcase","login","","","","test_login[phone]",""
"broken","Tue Dec 14 18:07:13 CST 2021","Tue Dec 14 18:07:14 CST 2021","1405","testcase","login","","","","test_login[countryPhoneCode]",""
"passed","Fri Dec 10 15:46:17 CST 2021","Fri Dec 10 15:46:18 CST 2021","1469","","login","","","","test_login[pam10]",""
"broken","Tue Dec 14 18:07:15 CST 2021","Tue Dec 14 18:07:16 CST 2021","1174","testcase","login","","","","test_login[password]",""
"passed","Tue Dec 14 17:51:36 CST 2021","Tue Dec 14 17:51:36 CST 2021","0","","aaaa","","","","test_dfdf[3]",""
